year,soil,yieldtype,seedtype,yield
1899,light,corn,soft,7.85
1899,heavy,corn,soft,8.89
1900,light,corn,soft,14.81
1900,heavy,corn,soft,13.55
1901,light,corn,soft,7.48
1901,heavy,corn,soft,15.39
1899,light,corn,hard,7.27
1899,heavy,corn,hard,8.32
1900,light,corn,hard,13.81
1900,heavy,corn,hard,13.36
1901,light,corn,hard,7.97
1901,heavy,corn,hard,13.13
1899,light,straw,soft,12.81
1899,heavy,straw,soft,12.87
1900,light,straw,soft,22.22
1900,heavy,straw,soft,20.21
1901,light,straw,soft,13.97
1901,heavy,straw,soft,22.57
1899,light,straw,hard,10.71
1899,heavy,straw,hard,12.48
1900,light,straw,hard,21.64
1900,heavy,straw,hard,20.26
1901,light,straw,hard,11.71
1901,heavy,straw,hard,18.96
